Subject,posterior_alpha,posterior_beta,frontal_theta,frontal_theta_beta_ratio,global_alpha,global_beta,IAF,aperiodic_exponent,n_bad_channels,n_epochs_total,n_epochs_kept,flag_low_epochs,qc_flag,processing_failed,error
19197,-22.444039809869867,-24.279263120600284,-21.578833931819638,1.9128434466818618,-22.710657080500923,-24.103971276317345,10.0,1.5167420480084906,2.0,589.0,579.0,False,False,,
19200,-21.53245897261674,-22.666239834801996,-21.682528247493675,1.4081643116585703,-21.89604270294114,-23.09225765924712,11.0,1.2006956136973754,0.0,589.0,582.0,False,False,,
19201,-21.758069822283545,-22.94901708280692,-21.945436959179847,1.6378208982490925,-22.105818225290317,-23.173078498138803,7.0,1.5228091726205801,1.0,589.0,552.0,False,False,,
19203,-21.397674323911765,-23.35804526764104,-22.631294893289358,0.7912967304554073,-21.854008331910325,-23.227881014408236,10.5,1.1827133509136223,1.0,589.0,490.0,False,False,,
19204,-23.065063292642318,-24.205990787253107,-22.383717520435813,1.83782187359175,-23.07503515322529,-23.798000257688223,12.0,0.907276878341563,2.0,589.0,550.0,False,False,,
19205,-19.7379292121864,-22.241998434638088,-20.655067947139585,2.43062872671765,-20.305058785329816,-22.789565790563426,10.5,1.957116261751116,1.0,589.0,568.0,False,False,,
19207,-18.830733832740112,-22.671575054946786,-21.697534189911224,2.2441963082552263,-19.731001145789644,-23.36227057901866,9.5,1.8942942752461926,0.0,589.0,578.0,False,False,,
19208,-19.484914518082174,-22.79130262593882,-21.80530594566866,1.2235055536063335,-20.201271560165843,-23.027307528633084,10.0,1.4092021452483285,1.0,589.0,545.0,False,False,,
19209,-21.223153093569273,-23.504178264920803,-22.380467640776168,2.1962032656299364,-21.677790137563033,-23.62194539865589,9.5,1.3802616739973932,1.0,589.0,563.0,False,False,,
19210,-20.90753329323141,-22.998990313971973,-22.14260131699371,1.3094614385579213,-21.19908123307685,-22.81367783050845,10.5,0.7260858560614961,2.0,589.0,577.0,False,False,,
19211,-20.17044168842633,-22.993061337167887,-21.311253532683324,2.220054989052084,-20.608077560111656,-23.024200942482366,9.5,1.248340405740137,0.0,589.0,551.0,False,False,,
19212,-20.691440161849265,-23.601289287806342,-21.92667627611263,2.324608091521675,-21.42102442427786,-23.63430082001728,9.5,1.6618005570040917,3.0,589.0,556.0,False,False,,
19213,-21.07228501970097,-23.669111311497623,-22.15373574331907,1.808554064928611,-21.70243964811763,-23.723194960437162,10.5,1.707228494573614,1.0,589.0,560.0,False,False,,
19215,-20.96146632961449,-22.109761517320145,-21.892338774173517,1.1561546492968624,-21.39760262895084,-22.403888460804875,12.5,1.0414682956246109,1.0,589.0,551.0,False,False,,
19218,-19.387243205006513,-21.549162606194496,-21.65644389992746,0.5944121916162004,-20.128148592947365,-22.01747124327189,11.0,1.402910823257108,0.0,589.0,561.0,False,False,,
